review_id,username,rating,review_text,date,sentiment,load_dts,day_name,day_number,rating_label,sentiment_color
dc0252ce-6e00-4c78-ad53-8c66a7d6e87d,Roikhatul Janah,1,"makin jelek, opsi pembayaran berkurang, sebelumnya bisa pake dana sekarang tidak ada opsi pakai dana",2025-11-06 03:39:50+00,negative,2025-12-04 02:40:44.842332+00,Thursday ,4,Terrible,red
d947f316-eaf5-4eae-8bbd-773433b47184,Oktavia M P,1,payah minta update terus mana jadi lemot klo udh di update,2025-11-03 23:28:46+00,negative,2025-12-04 02:40:44.842332+00,Monday   ,1,Terrible,red
a4998069-5509-4877-b438-79d495c5d6a5,Aditiya Vermana_NKN,1,aplikasi fitur buruk salah pilih keberangkatan stasiun gabisa diubah cuma destinasi doang yang bisa diubah kalah sama gojek naik krl aja bisa bahkan bisa refund,2025-10-27 16:05:02+00,negative,2025-12-04 02:40:44.842332+00,Monday   ,1,Terrible,red
6aa8755f-e925-4132-8efb-919dcfbcf45a,Arief Rahman Hanafi,1,opsi pembayaran untuk bank tidak lengkap... masih di monopoli Blu BCA,2025-09-14 12:50:21+00,negative,2025-11-12 08:54:31.460817+00,Sunday,7,Terrible,red
83a1c94c-92ea-4140-8491-6d7519b27098,darun Jb,1,Baru mau coba beli tiket eh metode pembayarannya ga ada sama sekali. Bener2 gila,2023-10-08 05:55:22+00,negative,2025-11-12 08:54:31.460817+00,Sunday,7,Terrible,red
9f5f3c18-b54d-4ba3-948d-c94f857b4ddd,farid achmad arif adani,1,"gk bisa pakai ovo, gopay, dana lagi",2023-07-29 06:40:25+00,negative,2025-11-12 08:54:31.460817+00,Saturday,6,Terrible,red
926fdb5f-a385-49e7-8708-6b0d1c498f4b,Yunizar Suwandhana,5,ok,2023-07-12 15:26:01+00,positive,2025-11-12 08:54:31.460817+00,Wednesday,3,Excellent,green
16c04c0d-d16f-46d8-b59a-b6e7446891e0,ivan dipiadi,5,ok,2023-03-31 23:52:25+00,positive,2025-11-12 08:54:31.460817+00,Friday,5,Excellent,green
a3650382-abca-4c00-a4b2-14b4e1f65cf8,Aswan Kahar,5,keren,2023-03-19 11:59:28+00,positive,2025-11-12 08:54:31.460817+00,Sunday,7,Excellent,green
4f11ad05-0c27-4c71-b9e0-f4569fe5f23c,이룬,5,"Transportasi Jakarta yg sangat membantu, dengan adanya MRT Jakarta lebih mudah untuk pengguna transportasi umum.",2023-01-29 15:20:18+00,positive,2025-11-12 08:54:31.460817+00,Sunday,7,Excellent,green
6bd766f3-a80a-4d67-b198-c331f317ab40,syafiq wibowo,4,ok,2022-12-25 10:23:37+00,positive,2025-11-12 08:54:31.460817+00,Sunday,7,Good,green
f835a1ed-ebde-476a-a034-ed93bed0079c,andre Farhan,5,failed,2022-10-29 09:40:01+00,positive,2025-11-12 08:54:31.460817+00,Saturday,6,Excellent,green
1a9a30f3-c7a5-4bd9-ad02-23c3667be602,Aboe Hanifah,5,the best transportasi,2022-10-27 08:11:16+00,positive,2025-11-12 08:54:31.460817+00,Thursday,4,Excellent,green
31f5a856-f09e-4848-8274-75d31623fa90,Fajrian Nur,5,keren dan sangat membantu maju terus mrt jakarta,2022-10-27 00:39:52+00,positive,2025-11-12 08:54:31.460817+00,Thursday,4,Excellent,green
b4d802f9-17a8-483c-8bdb-c3a86fbf91da,Se_Indonesia,5,sangat bagus,2022-10-24 07:33:47+00,positive,2025-11-12 08:54:31.460817+00,Monday,1,Excellent,green
7b9b07f6-8126-4fca-a8c3-a6a84b4fc44f,Agus Prayoga,5,sangat baik,2022-10-24 04:16:08+00,positive,2025-11-12 08:54:31.460817+00,Monday,1,Excellent,green
